locatie,detalii,pret
"Berceni, IF, Sud",2 camere  •  52 m²  •  etajul 7  •  1984  •  decomandat,81.000 eur
"Oradea, BH, Rogerius",3 camere  •  73 m²  •  etajul 3/7  •  1979  •  decomandat,85.000 eur
"Dragasani, VL, Central",3 camere  •  66 m²  •  etajul 4/4  •  1970  •  decomandat,42.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  51 m²  •  etajul 3  •  1972  •  circular,63.000 eur
"Bucuresti, IF, Unirii",4 camere  •  89 m²  •  etajul 7/8  •  1992  •  decomandat,205.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  69 m²  •  etajul 2  •  1988  •  decomandat,75.000 eur
"Brasov, BV, Scriitorilor",3 camere  •  65 m²  •  etajul 4  •  1980  •  decomandat,85.000 eur
"Bucuresti, IF, Militari",3 camere  •  69 m²  •  etajul 3/3  •  2021  •  decomandat,116.700 eur
"Sibiu, SB, Terezian",1 cameră  •  22 m²  •  etajul 2/5  •  1984  •  semidecomandat,29.000 eur
"Bucuresti, IF, Decebal",3 camere  •  72 m²  •  etajul 1/4  •  2016  •  semidecomandat,164.900 eur
"Cluj-Napoca, CJ, Manastur",4 camere  •  78 m²  •  etajul 4/4  •  2000  •  decomandat,96.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 3/8  •  2020  •  decomandat,49.875 eur
"Alba Iulia, AB, Industriala",4 camere  •  80 m²  •  etajul 1  •  1976  •  decomandat,71.000 eur
"Bucuresti, IF, Drumul Taberei",3 camere  •  70 m²  •  etajul 7/10  •  2021  •  decomandat,165.000 eur
"Bragadiru, IF, Haliu",2 camere  •  65 m²  •  etajul 2  •  2020  •  decomandat,48.000 eur
"Chiajna, IF, Nord-Vest",2 camere  •  47 m²  •  etajul 1  •  2020  •  decomandat,49.875 eur
"Bucuresti, IF, Doamna Ghica",3 camere  •  91 m²  •  etajul 3/4  •  2016  •  decomandat,141.000 eur
"Bucuresti, IF, Alexandru Obregia",3 camere  •  100 m²  •  etajul 5/10  •  1978  •  decomandat,141.000 eur
"Constanta, CT, Bratianu",1 cameră  •  41 m²  •  etajul 6/8  •  1986  •  decomandat,59.900 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 8/8  •  2020  •  decomandat,49.875 eur
"Bucuresti, IF, Sisesti",3 camere  •  93 m²  •  etajul 1/12+  •  2021  •  decomandat,139.300 eur
"Bucuresti, IF, Drumul Taberei",4 camere  •  63 m²  •  etajul 7/10  •  1972  •  semidecomandat,61.900 eur
"Brasov, BV, Bartolomeu",2 camere  •  45 m²  •  etajul 1  •  1980  •  decomandat,61.200 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 4/5  •  2020  •  decomandat,61.000 eur
"Bucuresti, IF, Rahova",2 camere  •  46 m²  •  etajul 3/8  •  1990  •  decomandat,55.000 eur
"Bucuresti, IF, Giurgiului",3 camere  •  67 m²  •  etajul 9/10  •  1977  •  decomandat,84.900 eur
"Bucuresti, IF, P-ta Unirii",4 camere  •  87 m²  •  etajul 2  •  2015  •  semidecomandat,235.000 eur
"Tulcea, TL, Babadag",2 camere  •  64 m²  •  etajul 6  •  2000  •  decomandat,72.000 eur
"Sibiu, SB, Ultracentral",3 camere  •  60 m²  •  etajul 1/2  •  1970  •  decomandat,115.000 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  50 m²  •  etajul 7/10  •  1974  •  decomandat,64.000 eur
"Brasov, BV, Tractorul",2 camere  •  60 m²  •  etajul 3  •  1980  •  decomandat,122.000 eur
"Galati, GL, Micro 39",4 camere  •  56 m²  •  etajul 2/4  •  1975  •  semidecomandat,67.000 eur
"Focsani, VN, Central",2 camere  •  50 m²  •  etajul 1/4  •  1980  •  decomandat,49.000 eur
"Bragadiru, IF, Haliu",2 camere  •  65 m²  •  etajul 2  •  2020  •  decomandat,48.000 eur
"Brasov, BV, Tractorul",2 camere  •  52 m²  •  etajul 4/7  •  2019  •  decomandat,121.000 eur
"Bucuresti, IF, Dristor",3 camere  •  69 m²  •  etajul 8  •  1985  •  decomandat,94.500 eur
"Cluj-Napoca, CJ, Manastur",1 cameră  •  24 m²  •  etajul 2/4  •  1981  •  semidecomandat,59.000 eur
"Bragadiru, IF, Haliu",2 camere  •  65 m²  •  etajul 1  •  2015  •  decomandat,45.900 eur
"Deva, HD, Decebal",4 camere  •  78 m²  •  etajul 8  •  1979  •  decomandat,75.000 eur
"Brasov, BV, Centrul Istoric",2 camere  •  80 m²  •  etajul 1  •  1980  •  semidecomandat,130.000 eur
"Bucuresti, IF, Pipera",2 camere  •  58 m²  •  etajul 3/4  •  2020  •  decomandat,155.000 eur
"Brasov, BV, Central",1 cameră  •  47 m²  •  etajul 1/3  •  2020  •  decomandat,57.600 eur
"Brasov, BV, Gemenii",2 camere  •  27 m²  •  etajul 2  •  1978  •  nedecomandat,40.000 eur
"Sibiu, SB, Turnisor",3 camere  •  78 m²  •  etajul 1/3  •  2021  •  decomandat,104.500 eur
"Galati, GL, Micro 21",2 camere  •  50 m²  •  etajul 2  •  1980  •  decomandat,60.000 eur
"Brasov, BV, Tractorul",4 camere  •  133 m²  •  etajul 8/8  •  2019  •  decomandat,229.000 eur
"Resita, CS, Central",2 camere  •  58 m²  •  etajul 4/4  •  1980  •  semidecomandat,39.000 eur
"Focsani, VN, Ultracentral",3 camere  •  70 m²  •  etajul 2/3  •  1982  •  decomandat,87.500 eur
"Floresti, CJ, Central",3 camere  •  74 m²  •  etajul 1/2  •  2021  •  semidecomandat,97.000 eur
"Floresti, CJ, Central",2 camere  •  65 m²  •  etajul 4/4  •  2020  •  semidecomandat,78.500 eur
"Bucuresti, IF, Militari",3 camere  •  86 m²  •  etajul 6/7  •  2016  •  decomandat,79.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  69 m²  •  etajul 5/10  •  1974  •  decomandat,75.000 eur
"Brasov, BV, Florilor",2 camere  •  35 m²  •  etajul 1  •  1980  •  nedecomandat,54.900 eur
"Bucuresti, IF, Aparatorii Patriei",2 camere  •  56 m²  •  etajul 2/8  •  2021  •  decomandat,70.900 eur
"Brasov, BV, Avantgarden",2 camere  •  50 m²  •  etajul 2  •  2020  •  decomandat,86.500 eur
"Iasi, IS, Tatarasi",4 camere  •  81 m²  •  etajul 1  •  1974  •  decomandat,95.000 eur
"Bucuresti, IF, Gorjului",4 camere  •  82 m²  •  etajul 6/8  •  1980  •  decomandat,146.000 eur
"Bucuresti, IF, Militari",1 cameră  •  38 m²  •  etajul 2/8  •  2021  •  decomandat,47.900 eur
"Bucuresti, IF, Apusului",3 camere  •  80 m²  •  etajul 4/4  •  1980  •  decomandat,115.000 eur
"Brasov, BV, Astra",2 camere  •  52 m²  •  etajul 7/10  •  2021  •  decomandat,128.500 eur
"Oradea, BH, Rogerius",3 camere  •  70 m²  •  etajul 4/4  •  1985  •  decomandat,62.900 eur
"Bucuresti, IF, Nicolae Grigorescu",3 camere  •  59 m²  •  etajul 8/8  •  1975  •  decomandat,71.000 eur
"Deva, HD, 22 Decembrie",3 camere  •  88 m²  •  etajul 4  •  1985  •  decomandat,88.000 eur
"Brasov, BV, Astra",2 camere  •  56 m²  •  etajul 5  •  1980  •  decomandat,69.400 eur
"Bucuresti, IF, Militari",4 camere  •  67 m²  •  etajul 6  •  2020  •  decomandat,75.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 8/8  •  2020  •  decomandat,51.062 eur
"Braila, BR, Buzaului",2 camere  •  60 m²  •  etajul 4  •  1990  •  decomandat,53.000 eur
"Resita, CS, Micro III",3 camere  •  70 m²  •  etajul 1/4  •  1978  •  semidecomandat,50.500 eur
"Chiajna, IF, Central",1 cameră  •  56 m²  •  etajul 4/8  •  2016  •  decomandat,58.900 eur
"Bucuresti, IF, Politehnica",2 camere  •  49 m²  •  etajul 1/12+  •  2019  •  decomandat,135.000 eur
"Arad, AR, Aurel Vlaicu",4 camere  •  110 m²  •  etajul 2  •  1982  •  decomandat,91.000 eur
"Timisoara, TM, Circumvalatiunii",2 camere  •  38 m²  •  etajul 4/4  •  1982  •  nedecomandat,61.000 eur
"Sibiu, SB, Lazaret",3 camere  •  96 m²  •  etajul 1  •  1990  •  decomandat,129.900 eur
"Sibiu, SB, Calea Cisnadiei",3 camere  •  66 m²  •  etajul 3/3  •  2021  •  nedecomandat,115.000 eur
"Brasov, BV, Astra",2 camere  •  47 m²  •  etajul 2  •  1980  •  semidecomandat,60.000 eur
"Bucuresti, IF, Valea Oltului",2 camere  •  43 m²  •  etajul 2/3  •  2018  •  decomandat,65.000 eur
"Bucuresti, IF, Unirii",4 camere  •  94 m²  •  etajul 4/4  •  1990  •  decomandat,165.000 eur
"Bucuresti, IF, Gorjului",2 camere  •  54 m²  •  etajul 3/4  •  1981  •  decomandat,83.990 eur
"Resita, CS, Central",1 cameră  •  33 m²  •  etajul 4/4  •  1977  •  decomandat,21.900 eur
"Galati, GL, Micro 21",2 camere  •  51 m²  •  etajul 4  •  1980  •  decomandat,44.000 eur
"Suceava, SV, Central",3 camere  •  82 m²  •  etajul 1/2  •  2021  •  decomandat,240.000 eur
"Bucuresti, IF, Obor",2 camere  •  55 m²  •  etajul 6/10  •  1980  •  semidecomandat,83.900 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  55 m²  •  etajul 4/10  •  1980  •  semidecomandat,69.000 eur
"Alba Iulia, AB, Central",3 camere  •  62 m²  •  etajul 4/4  •  1980  •  semidecomandat,67.000 eur
"Mamaia Sat, CT, Nord",2 camere  •  60 m²  •  etajul 2  •  2020  •  decomandat,58.000 eur
"Botosani, BT, Central",2 camere  •  45 m²  •  etajul 4/4  •  1982  •  decomandat,45.000 eur
"Constanta, CT, Tomis II",3 camere  •  69 m²  •  etajul 3/4  •  1975  •  decomandat,92.500 eur
"Constanta, CT, Mamaia Nord",2 camere  •  50 m²  •  etajul 7/7  •  2019  •  decomandat,130.000 eur
"Iasi, IS, Popas Pacurari",2 camere  •  51 m²  •  etajul 1  •  2021  •  decomandat,53.000 eur
"Cluj-Napoca, CJ, Marasti",2 camere  •  50 m²  •  etajul 4/4  •  1989  •  decomandat,110.000 eur
"Floresti, CJ, Central",3 camere  •  73 m²  •  etajul 3/4  •  2017  •  semidecomandat,135.000 eur
"Timisoara, TM, Aradului",2 camere  •  47 m²  •  etajul 4/4  •  1980  •  decomandat,63.000 eur
"Bucuresti, IF, Colentina",3 camere  •  76 m²  •  etajul 7/11  •  1977  •  decomandat,105.000 eur
"Floresti, CJ, Central",2 camere  •  52 m²  •  etajul 3/8  •  2015  •  decomandat,74.500 eur
"Bucuresti, IF, Dristor",3 camere  •  150 m²  •  etajul 3/4  •  2018  •  decomandat,349.900 eur
"Bucuresti, IF, Sebastian",3 camere  •  69 m²  •  etajul 4/8  •  1985  •  decomandat,115.000 eur
"Sibiu, SB, Hipodrom 3",2 camere  •  46 m²  •  etajul 6/10  •  1984  •  decomandat,65.000 eur
"Iasi, IS, Gara",2 camere  •  49 m²  •  etajul 3/8  •  2021  •  decomandat,78.900 eur
"Ploiesti, PH, Albert",2 camere  •  51 m²  •  etajul 4/4  •  2021  •  decomandat,71.000 eur
"Cluj-Napoca, CJ, Marasti",2 camere  •  57 m²  •  etajul 4/4  •  2011  •  decomandat,155.000 eur
"Floresti, CJ, Central",3 camere  •  66 m²  •  etajul 7/8  •  2020  •  semidecomandat,164.000 eur
"Brasov, BV, Racadau",3 camere  •  66 m²  •  etajul 5  •  1990  •  decomandat,99.000 eur
"Cluj-Napoca, CJ, Manastur",3 camere  •  42 m²  •  etajul 3/4  •  1976  •  semidecomandat,97.000 eur
"Bucuresti, IF, Titan",3 camere  •  64 m²  •  etajul 3/4  •  1970  •  decomandat,104.900 eur
"Bucuresti, IF, Mihai Bravu",2 camere  •  65 m²  •  etajul 1/8  •  2010  •  decomandat,108.000 eur
"Galati, GL, Micro 20",2 camere  •  47 m²  •  etajul 3/3  •  1985  •  decomandat,49.900 eur
"Bucuresti, IF, Gorjului",3 camere  •  74 m²  •  etajul 3/4  •  1986  •  decomandat,92.000 eur
"Focsani, VN, Central",3 camere  •  70 m²  •  etajul 1/4  •  1980  •  decomandat,85.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  60 m²  •  etajul 2/6  •  2021  •  semidecomandat,76.900 eur
"Cluj-Napoca, CJ, Dambul Rotund",1 cameră  •  38 m²  •  etajul 2/5  •  2020  •  semidecomandat,66.763 eur
"Constanta, CT, Tomis Nord",2 camere  •  42 m²  •  etajul 4/4  •  1976  •  decomandat,56.000 eur
"Braila, BR, Dorobanti",3 camere  •  65 m²  •  etajul 4  •  1990  •  decomandat,49.900 eur
"Chiajna, IF, Nord-Vest",2 camere  •  56 m²  •  etajul 7  •  2020  •  decomandat,58.800 eur
"Galati, GL, I.C.Frimu",3 camere  •  65 m²  •  etajul 3  •  1990  •  decomandat,77.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 1  •  2020  •  decomandat,51.062 eur
"Scornicesti, OT, Central",3 camere  •  80 m²  •  etajul 3  •  1980  •  decomandat,25.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  36 m²  •  etajul 1/4  •  1972  •  nedecomandat,50.000 eur
"Bucuresti, IF, Titan",3 camere  •  72 m²  •  etajul 4/8  •  1982  •  semidecomandat,107.000 eur
"Constanta, CT, Km 4-5",2 camere  •  42 m²  •  etajul 4/4  •  1978  •  nedecomandat,48.000 eur
"Bucuresti, IF, Cotroceni",2 camere  •  71 m²  •  etajul 6/10  •  2021  •  decomandat,175.000 eur
"Bucuresti, IF, Baneasa",4 camere  •  180 m²  •  etajul 1/3  •  2017  •  decomandat,350.000 eur
"Constanta, CT, Mamaia Nord",2 camere  •  67 m²  •  etajul 3/5  •  2020  •  semidecomandat,120.000 eur
"Iasi, IS, Pacurari",1 cameră  •  44 m²  •  etajul 2  •  2018  •  decomandat,44.900 eur
"Galati, GL, Tiglina 2",2 camere  •  44 m²  •  etajul 4/4  •  1970  •  semidecomandat,43.500 eur
"Constanta, CT, Tomis Nord",2 camere  •  42 m²  •  etajul 2  •  1980  •  decomandat,65.000 eur
"Mamaia, CT, Central",3 camere  •  105 m²  •  etajul 1/6  •  2007  •  decomandat,149.000 eur
"Iasi, IS, Alexandru cel Bun",2 camere  •  50 m²  •  etajul 6  •  1976  •  semidecomandat,63.000 eur
"Sibiu, SB, Tineretului",2 camere  •  52 m²  •  etajul 4/4  •  2015  •  decomandat,100.000 eur
"Chiajna, IF, Sud-Est",3 camere  •  85 m²  •  etajul 2/6  •  2017  •  decomandat,88.900 eur
"Chiajna, IF, Central",3 camere  •  68 m²  •  etajul 8/8  •  2020  •  decomandat,71.925 eur
"Bucuresti, IF, Doamna Ghica",3 camere  •  83 m²  •  etajul 5/8  •  1990  •  decomandat,150.000 eur
"Bucuresti, IF, Regie",1 cameră  •  45 m²  •  etajul 6/11  •  2015  •  decomandat,87.000 eur
"Bragadiru, IF, Haliu",2 camere  •  58 m²  •  etajul 3/3  •  2020  •  decomandat,60.000 eur
"Oradea, BH, Central",2 camere  •  68 m²  •  etajul 3/5  •  2020  •  decomandat,89.500 eur
"Floresti, CJ, Central",2 camere  •  44 m²  •  etajul 4/4  •  2010  •  semidecomandat,52.000 eur
"Floresti, CJ, Central",2 camere  •  59 m²  •  etajul 1/2  •  2015  •  semidecomandat,78.000 eur
"Bucuresti, IF, Aviatiei",3 camere  •  61 m²  •  etajul 4  •  2016  •  semidecomandat,130.000 eur
"Floresti, CJ, Central",2 camere  •  53 m²  •  etajul 3/4  •  2021  •  semidecomandat,65.000 eur
"Bucuresti, IF, Berceni",2 camere  •  63 m²  •  etajul 1/5  •  2021  •  decomandat,67.000 eur
"Craiova, DJ, Brazda lui Novac",2 camere  •  49 m²  •  etajul 4/12+  •  1978  •  semidecomandat,70.000 eur
"Chiajna, IF, Central",2 camere  •  45 m²  •  etajul 4/8  •  2020  •  decomandat,47.775 eur
"Focsani, VN, Central",3 camere  •  66 m²  •  etajul 3/3  •  1990  •  decomandat,68.000 eur
"Constanta, CT, Tomis Nord",3 camere  •  42 m²  •  etajul 3  •  1970  •  semidecomandat,61.000 eur
"Roman, NT, Est",3 camere  •  51 m²  •  etajul 1  •  1980  •  nedecomandat,41.000 eur
"Ploiesti, PH, Central",3 camere  •  73 m²  •  etajul 7/9  •  2021  •  decomandat,73.500 eur
"Iasi, IS, Podul de Fier",3 camere  •  60 m²  •  etajul 4  •  1982  •  decomandat,75.000 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 4  •  1980  •  decomandat,75.000 eur
"Braila, BR, Obor",4 camere  •  80 m²  •  etajul 7  •  1980  •  decomandat,55.000 eur
"Bucuresti, IF, Morarilor",3 camere  •  69 m²  •  etajul 3/10  •  1979  •  decomandat,79.000 eur
"Floresti, CJ, Central",2 camere  •  55 m²  •  etajul 1/7  •  2019  •  semidecomandat,108.500 eur
"Cluj-Napoca, CJ, Marasti",2 camere  •  52 m²  •  etajul 1/4  •  2018  •  semidecomandat,138.000 eur
"Timisoara, TM, Complex Studentesc",3 camere  •  68 m²  •  etajul 6/8  •  1980  •  semidecomandat,118.000 eur
"Bucuresti, IF, Drumul Taberei",4 camere  •  85 m²  •  etajul 3  •  1975  •  decomandat,79.500 eur
"Sibiu, SB, Mihai Viteazul",3 camere  •  64 m²  •  etajul 4/5  •  2010  •  decomandat,91.000 eur
"Brasov, BV, Scriitorilor",2 camere  •  60 m²  •  etajul 1  •  1980  •  decomandat,94.000 eur
